"CZAS","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","O3 Ozon  [µg/m3]","O3 Ozon 8h poz. doc.: 120 [µg/m3]"
"1:00","22","30","5","42","54"
"2:00","11","19","5","54","52"
"3:00","14","22","5","46","51"
"4:00","17","25","5","41","50"
"5:00","15","23","5","41","48"
"6:00","25","33","5","32","45"
"7:00","32","45","9","33","42"
"8:00","21","32","7","47","42"
"9:00","16","28","7","54","43"
"10:00","10","17","4","70","45"
"11:00","10","15","4","74","49"
"12:00","9","14","3","79","54"
"13:00","8","13","3","84","59"
"14:00","9","13","2","84","65"
"15:00","10","15","3","82","72"
"16:00","12","18","4","81","76"
"17:00","12","20","5","80","79"
"18:00","20","29","6","64","78"
"19:00","43","59","10","28","73"
"20:00","49","72","15","8","64"
"21:00","35","56","14","14","55"
"22:00","41","66","16","6","45"
"23:00","38","64","17","5","36"
"24:00","31","57","17","4","26"
"wartość średnia","21","33","7","48","54"
"minimum","8","13","2","4","26"
"maksimum","49","72","17","84","79 (poz. doc.: 120 µg/m3)"
