"CZAS","SO2 Dwutlenek siarki poz. dop.: 350 [µg/m3]","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","O3 Ozon  [µg/m3]","O3 Ozon 8h poz. doc.: 120 [µg/m3]","CO Tlenek węgla  [µg/m3]","CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]","C6H6 Benzen  [µg/m3]","PM10 Pył zawieszony PM10  [µg/m3]","PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"1:00","-","12","12","0","-","-","-","-","-","19","-"
"2:00","-","11","11","0","-","-","-","-","-","21","-"
"3:00","-","12","12","0","-","-","-","-","-","14","-"
"4:00","-","12","12","0","-","-","-","-","-","21","-"
"5:00","-","15","16","1","-","-","-","-","-","27","-"
"6:00","-","26","30","3","-","-","-","-","-","27","-"
"7:00","-","41","59","12","-","-","-","-","-","46","-"
"8:00","-","49","83","22","-","-","-","-","-","48","-"
"9:00","-","33","52","13","-","-","-","-","-","39","-"
"10:00","-","22","31","6","-","-","-","-","-","37","-"
"11:00","-","18","26","5","-","-","-","-","-","34","-"
"12:00","-","18","25","5","-","-","-","-","-","45","-"
"13:00","-","20","27","5","-","-","-","-","-","42","-"
"14:00","-","18","24","5","-","-","-","-","-","48","-"
"15:00","-","24","36","8","-","-","-","-","-","50","-"
"16:00","-","28","40","8","-","-","-","-","-","55","-"
"17:00","-","35","52","12","-","-","-","-","-","70","-"
"18:00","-","43","59","10","-","-","-","-","-","76","-"
"19:00","-","73","150","50","-","-","-","-","-","84","-"
"20:00","-","84","256","112","-","-","-","-","-","130","-"
"21:00","-","79","237","103","-","-","-","-","-","111","-"
"22:00","-","71","158","57","-","-","-","-","-","87","-"
"23:00","-","65","114","32","-","-","-","-","-","74","-"
"24:00","-","54","67","9","-","-","-","-","-","61","-"
"wartość średnia","-1) (poz. dop.: 125 µg/m3)","37","67","20","-1)","-1)","-1)","-1)","-1)","54 (poz. dop.: 50 µg/m3)","-1)"
"minimum","-1)","11","11","0","-1)","-1)","-1)","-1)","-1)","14","-1)"
"maksimum","-1)","84","256","112","-1)","-1) (poz. doc.: 120 µg/m3)","-1)","-1) (poz. dop.: 10000 µg/m3)","-1)","130","-1)"
