"CZAS","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","CO Tlenek węgla  [µg/m3]","CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]","PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"1:00","24","38","10","555","834","34"
"2:00","24","38","9","524","795","38"
"3:00","19","30","7","477","753","37"
"4:00","21","29","5","465","685","29"
"5:00","28","51","15","511","631","29"
"6:00","34","92","38","662","578","35"
"7:00","56","193","89","812","568","32"
"8:00","69","207","90","860","608","27"
"9:00","72","200","83","708","627","17"
"10:00","64","182","77","571","633","19"
"11:00","59","152","61","497","636","12"
"12:00","77","187","72","500","640","13"
"13:00","59","177","77","500","639","12"
"14:00","62","148","56","555","625","13"
"15:00","63","149","56","513","588","14"
"16:00","77","206","84","622","558","17"
"17:00","91","213","79","726","561","23"
"18:00","92","187","62","775","586","17"
"19:00","114","260","95","969","645","29"
"20:00","117","363","160","1261","740","45"
"21:00","135","542","266","1808","904","72"
"22:00","127","507","247","2079","1094","82"
"23:00","114","412","195","1997","1280","102"
"24:00","92","245","100","1380","1374","91"
"wartość średnia","70","200","85","847","733","35"
"minimum","19","29","5","465","558","12"
"maksimum","135","542","266","2079","1374 (poz. dop.: 10000 µg/m3)","102"
