"CZAS","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","O3 Ozon  [µg/m3]","O3 Ozon 8h poz. doc.: 120 [µg/m3]"
"1:00","63","199","89","2","20"
"2:00","66","117","33","2","10"
"3:00","61","97","23","1","4"
"4:00","54","82","18","0","2"
"5:00","45","116","47","0","1"
"6:00","45","92","31","1","1"
"7:00","43","84","27","6","2"
"8:00","26","41","10","36","6"
"9:00","24","37","8","51","12"
"10:00","15","21","4","69","21"
"11:00","11","14","2","77","30"
"12:00","8","10","1","86","41"
"13:00","8","9","1","86","51"
"14:00","7","8","1","91","63"
"15:00","7","8","1","94","74"
"16:00","7","8","1","96","81"
"17:00","7","9","1","94","86"
"18:00","10","10","1","88","89"
"19:00","13","15","1","77","89"
"20:00","16","19","1","66","86"
"21:00","8","10","1","70","84"
"22:00","8","10","1","71","82"
"23:00","13","16","2","61","78"
"24:00","14","17","2","58","73"
"wartość średnia","24","44","13","53","45"
"minimum","7","8","1","0","1"
"maksimum","66","199","89","96","89 (poz. doc.: 120 µg/m3)"
