"CZAS","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","CO Tlenek węgla  [µg/m3]","CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]","PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"1:00","62","173","72","1339","1323","70"
"2:00","48","92","29","1030","1341","55"
"3:00","41","77","24","885","1327","36"
"4:00","32","47","10","788","1288","31"
"5:00","32","67","23","747","1235","31"
"6:00","45","169","81","907","1132","21"
"7:00","59","277","142","1051","1064","27"
"8:00","68","266","129","1104","981","26"
"9:00","59","239","117","1007","940","20"
"10:00","63","179","76","809","912","19"
"11:00","69","196","83","825","905","19"
"12:00","60","148","57","733","898","24"
"13:00","66","164","64","779","902","26"
"14:00","51","141","59","777","886","29"
"15:00","65","150","56","798","854","33"
"16:00","59","159","65","896","828","34"
"17:00","69","163","62","951","821","35"
"18:00","61","135","48","849","826","34"
"19:00","38","94","36","755","817","18"
"20:00","55","121","43","790","824","13"
"21:00","39","96","37","729","818","14"
"22:00","43","84","27","657","803","7"
"23:00","45","93","32","696","790","11"
"24:00","25","44","12","597","753","15"
"wartość średnia","52","141","58","854","970","27"
"minimum","25","44","10","597","753","7"
"maksimum","69","277","142","1339","1341 (poz. dop.: 10000 µg/m3)","70"
