"CZAS","SO2 Dwutlenek siarki poz. dop.: 350 [µg/m3]","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","O3 Ozon  [µg/m3]","O3 Ozon 8h poz. doc.: 120 [µg/m3]","CO Tlenek węgla  [µg/m3]","CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]","C6H6 Benzen  [µg/m3]","PM10 Pył zawieszony PM10  [µg/m3]","PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"1:00","5,7","70","135","43","1","18","969","690","1,2","69","53"
"2:00","6,4","68","134","43","1","8","1027","773","1,1","66","57"
"3:00","7,4","66","131","43","1","2","1117","859","1,4","73","66"
"4:00","6,1","59","98","26","2","1","885","882","1,3","63","57"
"5:00","6,5","56","86","20","3","1","763","895","0,8","63","47"
"6:00","6,1","63","115","34","1","2","805","906","0,6","71","44"
"7:00","7,5","69","202","86","2","2","967","927","0,9","103","52"
"8:00","11,9","66","159","61","11","2","706","928","0,6","62","32"
"9:00","10,0","47","81","22","35","-","530","-","0,2","49","23"
"10:00","4,8","21","34","8","66","15","416","773","0,1","29","16"
"11:00","4,4","16","24","5","76","24","413","685","0,1","28","10"
"12:00","3,9","15","23","5","82","34","401","625","0,0","27","14"
"13:00","3,5","18","24","4","86","45","393","579","0,0","33","15"
"14:00","3,3","17","23","4","91","56","392","527","0,0","30","11"
"15:00","3,2","24","37","8","89","67","409","457","0,0","30","16"
"16:00","3,3","29","45","10","89","77","408","420","0,0","33","14"
"17:00","3,8","20","23","2","95","84","412","405","0,0","34","14"
"18:00","4,1","23","25","1","90","87","425","407","0,0","42","18"
"19:00","4,0","49","51","1","60","85","499","417","0,1","54","25"
"20:00","4,8","83","89","4","27","78","599","442","0,2","60","26"
"21:00","6,8","97","109","8","12","69","682","478","0,4","75","42"
"22:00","7,1","81","86","4","23","61","598","504","0,5","64","39"
"23:00","6,7","54","57","2","37","54","613","530","0,6","64","47"
"24:00","7,9","41","43","1","35","47","701","566","1,0","76","59"
"wartość średnia","5,8 (poz. dop.: 125 µg/m3)","48","76","19","42","40","630","638","0,5","54 (poz. dop.: 50 µg/m3)","33"
"minimum","3,2","15","23","1","1","1","392","405","0,0","27","10"
"maksimum","11,9","97","202","86","95","87 (poz. doc.: 120 µg/m3)","1117","928 (poz. dop.: 10000 µg/m3)","1,4","103","66"
