"CZAS","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","O3 Ozon  [µg/m3]","O3 Ozon 8h poz. doc.: 120 [µg/m3]"
"1:00","14","21","5","29","22"
"2:00","16","23","5","27","19"
"3:00","14","20","4","28","19"
"4:00","17","24","5","22","19"
"5:00","16","23","5","25","20"
"6:00","16","23","5","31","24"
"7:00","18","25","5","35","28"
"8:00","16","23","5","46","30"
"9:00","12","19","5","57","34"
"10:00","8","13","4","73","40"
"11:00","7","11","3","78","46"
"12:00","6","10","2","86","54"
"13:00","5","9","2","90","62"
"14:00","6","9","2","90","70"
"15:00","6","9","2","92","77"
"16:00","7","10","2","91","82"
"17:00","8","12","2","91","86"
"18:00","13","17","2","82","87"
"19:00","34","40","4","51","84"
"20:00","61","78","12","19","76"
"21:00","68","137","45","4","65"
"22:00","62","110","31","2","54"
"23:00","53","114","40","1","43"
"24:00","50","170","78","1","31"
"wartość średnia","22","40","11","48","49"
"minimum","5","9","2","1","19"
"maksimum","68","170","78","92","87 (poz. doc.: 120 µg/m3)"
