"CZAS","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","O3 Ozon  [µg/m3]","O3 Ozon 8h poz. doc.: 120 [µg/m3]"
"1:00","28","40","8","15","53"
"2:00","27","39","8","13","42"
"3:00","40","55","10","6","32"
"4:00","31","52","14","3","24"
"5:00","28","58","20","2","17"
"6:00","21","46","16","6","11"
"7:00","23","54","20","14","11"
"8:00","-","-","-","-","8"
"9:00","-","-","-","-","7"
"10:00","7","9","1","86","19"
"11:00","6","8","1","101","35"
"12:00","7","9","1","111","53"
"13:00","8","10","1","117","73"
"14:00","9","11","1","121","92"
"15:00","10","12","1","126","110"
"16:00","11","14","1","127","113"
"17:00","12","16","2","123","114"
"18:00","16","21","3","110","117"
"19:00","30","38","5","69","113"
"20:00","47","55","6","41","104"
"21:00","41","51","7","33","94"
"22:00","42","54","8","28","82"
"23:00","27","37","7","28","70"
"24:00","20","30","6","34","58"
"wartość średnia","23","33","7","60","61"
"minimum","6","8","1","2","7"
"maksimum","47","58","20","127","117 (poz. doc.: 120 µg/m3)"
