"CZAS","SO2 Dwutlenek siarki poz. dop.: 350 [µg/m3]","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","O3 Ozon  [µg/m3]","O3 Ozon 8h poz. doc.: 120 [µg/m3]","CO Tlenek węgla  [µg/m3]","CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]","C6H6 Benzen  [µg/m3]","PM10 Pył zawieszony PM10  [µg/m3]","PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"1:00","1,3","28","30","1","30","41","236","243","0,6","-","9"
"2:00","1,3","22","24","1","31","39","227","240","0,7","-","10"
"3:00","1,4","15","16","1","35","37","223","237","0,5","-","9"
"4:00","2,3","13","14","1","36","34","219","235","0,5","-","7"
"5:00","2,3","15","18","2","33","34","228","234","0,5","-","5"
"6:00","3,0","14","19","3","35","34","231","228","0,6","-","8"
"7:00","3,1","19","28","6","34","33","243","230","0,7","-","14"
"8:00","2,6","17","25","6","35","34","244","231","0,5","-","12"
"9:00","2,2","19","29","7","33","34","253","233","0,5","-","11"
"10:00","2,4","18","30","8","38","35","256","237","0,5","-","12"
"11:00","1,9","18","28","6","40","35","273","243","0,6","-","14"
"12:00","1,7","16","25","6","46","37","256","248","0,6","-","7"
"13:00","1,7","8","10","2","62","40","269","253","0,3","-","4"
"14:00","1,5","10","13","2","61","44","271","258","0,5","-","5"
"15:00","1,5","11","14","2","56","46","272","262","0,6","-","6"
"16:00","1,6","8","10","1","63","50","269","265","0,4","-","4"
"17:00","1,3","8","10","2","65","54","264","266","0,4","-","1"
"18:00","1,4","7","9","1","71","58","243","265","0,5","-","1"
"19:00","1,4","9","10","1","65","61","260","263","0,3","-","8"
"20:00","1,4","11","13","1","56","62","259","263","0,4","-","7"
"21:00","1,4","12","12","1","56","61","236","259","0,5","-","8"
"22:00","2,1","14","15","1","47","60","242","256","0,6","-","12"
"23:00","-","-","-","-","40","58","-","253","0,8","-","8"
"24:00","3,1","11","12","1","46","56","238","249","0,8","-","5"
"wartość średnia","1,9 (poz. dop.: 125 µg/m3)","14","18","3","46","45","248","248","0,5","-1) (poz. dop.: 50 µg/m3)","8"
"minimum","1,3","7","9","1","30","33","219","228","0,3","-1)","1"
"maksimum","3,1","28","30","8","71","62 (poz. doc.: 120 µg/m3)","273","266 (poz. dop.: 10000 µg/m3)","0,8","-1)","14"
