"CZAS","NO2 Dwutlenek azotu poz. dop.: 200 [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","CO Tlenek węgla  [µg/m3]","CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]","PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"1:00","10","18","5","438","818","3"
"2:00","16","27","7","478","748","2"
"3:00","16","27","8","483","679","3"
"4:00","8","11","2","400","586","4"
"5:00","14","23","6","425","510","4"
"6:00","28","57","19","489","481","6"
"7:00","56","129","48","657","496","7"
"8:00","40","97","38","619","498","6"
"9:00","29","78","31","537","511","15"
"10:00","27","68","27","509","515","4"
"11:00","19","60","27","500","517","-"
"12:00","19","57","25","493","528","-"
"13:00","34","83","32","510","539","2"
"14:00","34","86","34","553","547","2"
"15:00","39","98","39","573","537","5"
"16:00","35","83","31","606","535","3"
"17:00","51","129","51","683","553","2"
"18:00","67","138","46","784","588","7"
"19:00","84","215","86","953","645","19"
"20:00","70","167","64","889","694","14"
"21:00","54","137","54","856","737","16"
"22:00","58","120","41","818","770","20"
"23:00","39","84","29","738","791","11"
"24:00","27","49","15","561","785","10"
"wartość średnia","36","85","32","606","609","8"
"minimum","8","11","2","400","481","2"
"maksimum","84","215","86","953","818 (poz. dop.: 10000 µg/m3)","20"
